timestamp,profile,device,dtype,kernel,heads,tokens,head_dim,window,iters,status,wall_s,runs_s,tokens_s,replay_s,first_call_s,capture_s,checksum,returncode,error
2026-06-24T14:30:48+0700,rx6700xt,cl,fp16,polar,4,16,16,16,50,ok,5.245622299989918,2603.48,41655.6,0.0192,2.3357,0.0323,-38.11249,0,
2026-06-24T14:30:53+0700,rx6700xt,cl,fp16,polar,4,32,16,32,32,ok,9.277843900010339,2554.38,81740.17,0.0125,5.0847,0.0552,80.581924,0,
2026-06-24T14:31:02+0700,rx6700xt,cl,fp16,polar,4,48,16,48,21,ok,12.67664999999397,2444.96,117358.05,0.0086,8.579,0.0765,109.032791,0,
2026-06-24T14:31:15+0700,rx6700xt,cl,fp16,polar,4,64,16,64,16,ok,16.969575499999337,2462.45,157596.65,0.0065,12.6356,0.0933,-17.029442,0,
2026-06-24T14:31:32+0700,rx6700xt,cl,fp16,polar,4,96,16,96,10,ok,83.72567289999279,1816.13,174348.92,0.0055,78.9964,0.1316,-16.250107,0,
2026-06-24T14:32:56+0700,rx6700xt,cl,fp16,polar,4,128,16,128,8,ok,113.7555466999911,1275.65,163283.53,0.0063,108.8641,0.1736,153.928185,0,
2026-06-24T14:34:50+0700,rx6700xt,cl,fp16,polar,4,16,32,16,50,ok,17.505636799993226,1801.32,28821.14,0.0278,13.5584,0.0491,-3.205715,0,
2026-06-24T14:35:07+0700,rx6700xt,cl,fp16,polar,4,32,32,32,32,ok,40.58786279999185,1755.17,56165.29,0.0182,36.4601,0.0868,84.578636,0,
2026-06-24T14:35:48+0700,rx6700xt,cl,fp16,polar,4,48,32,48,21,ok,57.56573440000648,1903.81,91382.98,0.011,53.2193,0.1236,104.91548,0,
2026-06-24T14:36:45+0700,rx6700xt,cl,fp16,polar,4,64,32,64,16,ok,83.80049939999299,1904.99,121919.28,0.0084,79.2241,0.1568,140.455368,0,
2026-06-24T14:38:09+0700,rx6700xt,cl,fp16,polar,4,96,32,96,10,ok,188.37283949999255,893.54,85779.39,0.0112,183.0171,0.2613,152.246693,0,
2026-06-24T14:41:17+0700,rx6700xt,cl,fp16,polar,4,128,32,128,8,ok,214.16008470000816,706.11,90382.71,0.0113,208.2998,0.3101,418.842171,0,
2026-06-24T14:44:52+0700,rx6700xt,cl,fp16,polar,8,16,16,16,50,ok,9.458247799993842,2646.33,42341.26,0.0189,5.4986,0.0312,68.879959,0,
2026-06-24T14:45:01+0700,rx6700xt,cl,fp16,polar,8,32,16,32,32,ok,14.82518080000591,2610.14,83524.34,0.0123,10.8055,0.0517,200.447243,0,
2026-06-24T14:47:40+0700,rx6700xt,cl,fp16,polar,8,48,16,48,21,ok,24.103854700006195,2478.99,118991.41,0.0085,20.9559,0.074,114.521912,0,
2026-06-24T14:48:04+0700,rx6700xt,cl,fp16,polar,8,64,16,64,16,ok,35.44811050000135,2396.86,153399.05,0.0067,31.2823,0.0923,265.000977,0,
2026-06-24T14:48:39+0700,rx6700xt,cl,fp16,polar,8,96,16,96,10,ok,82.22557540000707,1785.4,171397.96,0.0056,77.8098,0.1343,192.553131,0,
2026-06-24T14:50:01+0700,rx6700xt,cl,fp16,polar,8,128,16,128,8,ok,114.6389419999905,1106.64,141649.72,0.0072,109.7972,0.1796,247.650208,0,
