timestamp,profile,device,dtype,kernel,heads,tokens,head_dim,window,iters,gdn_variant,chunk_size,status,wall_s,runs_s,tokens_s,replay_s,first_call_s,capture_s,checksum,returncode,error
2026-06-25T16:43:53+0700,rx6700xt,cl,fp16,gdn,4,48,16,48,8,chunked,16,ok,6.535352500010049,803.58,38572.03,0.01,3.3335,0.098,-545.535956,0,
2026-06-25T16:43:59+0700,rx6700xt,cl,fp16,gdn,4,48,16,48,8,chunked,24,ok,8.08184140000958,1086.45,52149.82,0.0074,5.0938,0.0913,-545.535956,0,
2026-06-25T16:44:07+0700,rx6700xt,cl,fp16,gdn,4,48,16,48,8,chunked,32,ok,13.960391400003573,1106.32,53103.22,0.0072,10.1868,0.1057,-545.535956,0,
2026-06-25T16:44:21+0700,rx6700xt,cl,fp16,gdn,4,64,16,64,8,chunked,16,ok,8.367862699989928,621.64,39785.22,0.0129,5.3753,0.1218,-3146.426338,0,
2026-06-25T16:44:30+0700,rx6700xt,cl,fp16,gdn,4,64,16,64,8,chunked,24,ok,12.66094279999379,824.65,52777.52,0.0097,9.4951,0.1267,-3146.426338,0,
2026-06-25T16:44:42+0700,rx6700xt,cl,fp16,gdn,4,64,16,64,8,chunked,32,ok,10.12734880001517,1124.54,71970.76,0.0071,7.0611,0.1131,-3146.426338,0,
2026-06-25T16:44:52+0700,rx6700xt,cl,fp16,gdn,4,96,16,96,8,chunked,16,ok,9.728969500021776,434.78,41738.68,0.0184,6.6588,0.1765,745.170572,0,
2026-06-25T16:45:02+0700,rx6700xt,cl,fp16,gdn,4,96,16,96,8,chunked,24,ok,10.62495470000431,563.76,54121.1,0.0142,7.4386,0.2225,745.170572,0,
2026-06-25T16:45:13+0700,rx6700xt,cl,fp16,gdn,4,96,16,96,8,chunked,32,ok,12.152170499990461,832.46,79915.92,0.0096,8.9482,0.1674,745.170572,0,
2026-06-25T16:45:25+0700,rx6700xt,cl,fp16,gdn,4,128,16,128,8,chunked,16,ok,10.645868799998425,398.02,50946.54,0.0201,7.417,0.2627,401.225973,0,
2026-06-25T16:45:36+0700,rx6700xt,cl,fp16,gdn,4,128,16,128,8,chunked,24,ok,14.375058800011175,427.32,54697.06,0.0187,11.1406,0.2282,401.225973,0,
2026-06-25T16:45:50+0700,rx6700xt,cl,fp16,gdn,4,128,16,128,8,chunked,32,ok,11.204303900012746,591.91,75764.86,0.0135,7.9561,0.2319,401.225973,0,
