checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,0,0.8681861162185669,3.9,4.768186116218567,0.9915757936314729,0.008424206368527087,81.93335090933897,118.20483904031857,3.6451990604400635,0.11391247063875198,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,1,-0.15696817636489868,3.9,3.7430318236351012,0.9768656775675163,0.02313432243248365,29.613927975423497,42.72386703138642,2.8657538890838623,0.0895548090338707,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,2,-1.6819281578063965,3.9,2.2180718421936034,0.9018606704928286,0.0981393295071714,6.710349798785382,9.680988377337924,2.1733956336975098,0.06791861355304718,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,3,0.25725990533828735,3.9,4.157259905338288,0.9845907774789818,0.01540922252101818,44.635148076040835,64.39490677864868,3.467477560043335,0.10835868120193481,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,4,-1.4442843198776245,3.9,2.4557156801223754,0.9209784239966399,0.07902157600336014,8.42029132589054,12.147912538702638,2.5343947410583496,0.07919983565807343,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,5,0.3204592764377594,3.9,4.22045927643776,0.985520831119617,0.014479168880383048,47.524612121971636,68.56352222854,3.355426788330078,0.10485707968473434,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,6,0.8370307683944702,3.9,4.737030768394471,0.9913115195228727,0.008688480477127315,79.43064440327568,114.59419677522051,4.783857822418213,0.14949554204940796,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,10,7,-0.9456384778022766,3.9,2.9543615221977233,0.9504692218010696,0.049530778198930404,13.644764202894736,19.685233649615483,2.618455410003662,0.08182673156261444,1024,blocks.10.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,0,-0.1896226853132248,3.9,3.710377314686775,0.9761161086773342,0.023883891322665773,28.673564783876383,41.36720971830688,2.863027572631836,0.08946960419416428,1024,blocks.14.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,1,-0.11696101725101471,3.9,3.783038982748985,0.9777527622249144,0.022247237775085683,30.808677060224923,44.447525611136065,3.763110876083374,0.11759721487760544,1024,blocks.14.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,2,-0.24232441186904907,3.9,3.657675588130951,0.9748561254961722,0.025143874503827806,27.219193800476482,39.26899591294304,4.33173942565918,0.13536685705184937,1024,blocks.14.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,3,0.30908289551734924,3.9,4.20908289551735,0.9853575957303031,0.014642404269696927,46.99091908143424,67.79356592559975,4.211315631866455,0.13160361349582672,1024,blocks.14.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,4,-0.9445568919181824,3.9,2.9554431080818175,0.9505201153377545,0.049479884662245545,13.659161386959184,19.706004395668028,2.1178536415100098,0.0661829262971878,1024,blocks.14.attn.mem.w_gamma
atma-10b-L4-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,14,5,-0.4700090289115906,3.9,3.4299909710884093,0.9686287933909429,0.031371206609057144,21.746597147941266,31.37370786154494,3.1803627014160156,0.09938634186983109,1024,blocks.14.attn.mem.w_gamma
