checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
repl_seed1_polar,polar,10,0,0.10607735812664032,3.9,4.006077358126641,0.9821208187728228,0.017879181227177247,38.420780474340084,55.42946945741395,2.9305684566497803,0.09158026427030563,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,1,-0.5070003271102905,3.9,3.3929996728897094,0.9674850400552565,0.032514959944743495,20.969309942431465,30.25231946480951,2.498753309249878,0.07808604091405869,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,2,-2.1170127391815186,3.9,1.7829872608184814,0.8560653402975059,0.1439346597024941,4.46016049416242,6.434651426496993,2.2941842079162598,0.07169326394796371,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,3,1.4523340463638306,3.9,5.352334046363831,0.9952852526244528,0.004714747375547196,146.66997646512556,211.60004769353762,3.981904983520508,0.12443453818559647,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,4,1.6797839403152466,3.9,5.579783940315247,0.9962408041708422,0.0037591958291578386,184.04029909540813,265.5140268286669,4.067270755767822,0.12710222601890564,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,5,1.98191237449646,3.9,5.88191237449646,0.9972183136568173,0.002781686343182706,248.8356301058054,358.9939295501259,4.436319828033447,0.13863497972488403,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,6,-0.9170436859130859,3.9,2.982956314086914,0.9517981835440122,0.04820181645598779,14.030677913119908,20.2419894455684,2.4708125591278076,0.07721289247274399,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,10,7,2.07202410697937,3.9,5.9720241069793705,0.9974574046802509,0.0025425953197491242,272.26731871086434,392.7987105002989,3.950389862060547,0.12344968318939209,1024,blocks.10.attn.mem.w_gamma
repl_seed1_polar,polar,14,0,0.6586732864379883,3.9,4.558673286437989,0.989632659413618,0.010367340586382022,66.51155014937201,95.9558835623366,2.825673818588257,0.08830230683088303,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,1,-0.5820249915122986,3.9,3.3179750084877013,0.9650403376469191,0.03495966235308089,19.478426885109425,28.101429871465626,3.334192991256714,0.10419353097677231,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,2,-0.42268672585487366,3.9,3.4773132741451263,0.9700353242340718,0.029964675765928258,22.783812674568562,32.870093558143175,3.114828586578369,0.09733838587999344,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,3,1.0819728374481201,3.9,4.9819728374481205,0.9931862314402297,0.006813768559770327,101.38046388530087,146.26109249034621,3.8920187950134277,0.12162559479475021,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,4,-0.03556469827890396,3.9,3.864435301721096,0.9794561391172477,0.020543860882752233,33.39209667318816,48.17461227529342,2.7268059253692627,0.08521268516778946,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,5,1.1069666147232056,3.9,5.006966614723206,0.9933533047163172,0.006646695283682761,103.93752408626312,149.950150561529,3.017859697341919,0.09430811554193497,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,6,1.179659128189087,3.9,5.079659128189087,0.9938164446949591,0.006183555305040944,111.74831857004752,161.21874502868764,3.128693103790283,0.09777165949344635,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,14,7,-0.8406997323036194,3.9,3.0593002676963805,0.9551823516302795,0.04481764836972047,15.11672060467415,21.80881785086741,2.274714231491089,0.07108481973409653,1024,blocks.14.attn.mem.w_gamma
repl_seed1_polar,polar,2,0,-1.6566359996795654,3.9,2.2433640003204345,0.9040765883186171,0.0959234116813829,6.873650616250638,9.916581656868162,1.6915887594223022,0.052862148731946945,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,1,-0.3709353804588318,3.9,3.529064619541168,0.9715035282594294,0.028496471740570527,23.97572148013778,34.58965448112977,1.3114515542984009,0.04098286107182503,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,2,0.2579468786716461,3.9,4.1579468786716465,0.9846011966171994,0.015398803382800587,44.6655848263503,64.43881772738091,1.6807688474655151,0.052524030208587646,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,3,0.8059250712394714,3.9,4.705925071239472,0.9910394707660952,0.008960529233904786,77.00851379062287,111.09980095196096,2.944011688232422,0.09200036525726318,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,4,-2.0345571041107178,3.9,1.8654428958892821,0.8659301014226373,0.13406989857736276,4.815157636774227,6.946804043672799,1.3135586977005005,0.04104870930314064,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,5,-1.5749627351760864,3.9,2.3250372648239135,0.9109294958648708,0.08907050413512921,7.430044371027858,10.719288167666848,1.3306058645248413,0.04158143326640129,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,6,0.9859820008277893,3.9,4.88598200082779,0.9925048964660986,0.007495103533901372,92.13299261184373,132.91981154336648,3.206800699234009,0.10021252185106277,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,2,7,-0.4914388954639435,3.9,3.4085611045360564,0.9679710222847127,0.03202897771528737,21.292798179243526,30.719014339844186,1.2770973443984985,0.03990929201245308,1024,blocks.2.attn.mem.w_gamma
repl_seed1_polar,polar,6,0,-1.3489996194839478,3.9,2.551000380516052,0.9276406923515259,0.07235930764847413,9.228328335230684,13.31366352493241,3.187434196472168,0.09960731118917465,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,1,-1.1052836179733276,3.9,2.7947163820266723,0.9423896386448045,0.05761036135519547,11.681640113124272,16.853044260653977,2.3063018321990967,0.07207193225622177,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,2,1.1276559829711914,3.9,5.027655982971192,0.993488521611359,0.006511478388640944,106.10309606998713,153.0744105231357,3.267016649246216,0.10209426283836365,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,3,1.0289629697799683,3.9,4.928962969779969,0.9928179536615263,0.007182046338473698,96.16410841653429,138.73548232404266,3.8496129512786865,0.12030039727687836,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,4,-2.0276119709014893,3.9,1.8723880290985107,0.8667343506014659,0.13326564939853416,4.846412066084399,6.9918946538443985,1.8811750411987305,0.05878671258687973,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,5,0.009446308948099613,3.9,3.9094463089480995,0.9803425626969904,0.019657437303009652,34.91359931682016,50.36967659396075,2.494006633758545,0.07793769985437393,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,6,-0.39317721128463745,3.9,3.5068227887153625,0.9708812760399078,0.029118723960092206,23.455893797486425,33.839701661251866,2.806574821472168,0.08770546317100525,1024,blocks.6.attn.mem.w_gamma
repl_seed1_polar,polar,6,7,1.2440848350524902,3.9,5.144084835052491,0.9942000251351879,0.005799974864812138,119.16174290323896,171.9140555501885,3.616426944732666,0.11301334202289581,1024,blocks.6.attn.mem.w_gamma
repl_seed1_nope,nope,10,0,0.18894417583942413,3.9,4.0889441758394245,0.9835192499741083,0.016480750025891663,41.710454137028165,60.17546533671709,3.410708427429199,0.10658463835716248,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,1,-0.883667528629303,3.9,3.016332471370697,0.953306543274227,0.04669345672577299,14.495296366019835,20.912292183472626,2.604909658432007,0.08140343427658081,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,2,0.6036776304244995,3.9,4.5036776304245,0.9890529475625791,0.010947052437420857,62.970947199663854,90.8478732450358,3.9111907482147217,0.12222471088171005,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,3,-1.2360568046569824,3.9,2.6639431953430175,0.9348651888061756,0.06513481119382439,10.291267876269199,14.84716112955347,2.3980579376220703,0.0749393031001091,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,4,0.7698107361793518,3.9,4.669810736179352,0.9907130130930782,0.009286986906921793,74.2892778811913,107.17677279041685,4.15667200088501,0.12989600002765656,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,5,0.4639112949371338,3.9,4.363911294937134,0.987431473334649,0.012568526665351012,54.80213370310695,79.06276652360633,4.0290961265563965,0.1259092390537262,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,6,-1.8172117471694946,3.9,2.0827882528305053,0.8892189983166615,0.11078100168333845,5.903559821079736,8.517036477463073,3.021251678466797,0.0944141149520874,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,10,7,-0.8516329526901245,3.9,3.0483670473098754,0.9547119749106758,0.04528802508932422,14.956057653288516,21.57703020764877,3.1312386989593506,0.0978512167930603,1024,blocks.10.attn.mem.w_gamma
repl_seed1_nope,nope,14,0,-0.5389612913131714,3.9,3.3610387086868285,0.9664644585276765,0.03353554147232349,20.320488155294694,29.316267490086577,2.459289789199829,0.07685280591249466,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,1,-1.1759332418441772,3.9,2.7240667581558227,0.9384319200270683,0.06156807997293162,10.907979261771443,15.736887587077316,2.8814315795898438,0.09004474431276321,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,2,-0.387535035610199,3.9,3.512464964389801,0.9710403619141056,0.028959638085894454,23.586668288821016,34.02836937137506,4.078064441680908,0.12743951380252838,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,3,0.4956328868865967,3.9,4.395632886886597,0.9878191295307495,0.012180870469250505,56.5572872060854,81.59491777835223,3.9122250080108643,0.1222570389509201,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,4,0.03594006970524788,3.9,3.935940069705248,0.9808466796355654,0.019153320364434612,35.84170979231194,51.70865697434983,3.493513584136963,0.10917230695486069,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,5,-0.7333587408065796,3.9,3.1666412591934203,0.9595594492536486,0.04044055074635149,16.790946563209246,24.224215338573565,2.4223923683166504,0.07569976150989532,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,6,0.4882255494594574,3.9,4.388225549459458,0.9877296779473853,0.01227032205261474,56.14244333043491,80.9964245762081,4.337736129760742,0.1355542540550232,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,14,7,0.46613121032714844,3.9,4.366131210327149,0.9874589939349842,0.012541006065015846,54.92315795107036,79.23736760597045,4.680090427398682,0.1462528109550476,1024,blocks.14.attn.mem.w_gamma
repl_seed1_nope,nope,2,0,-0.69584721326828,3.9,3.20415278673172,0.9609902551875625,0.03900974481243745,17.41969290348861,25.131304565671687,1.935727596282959,0.06049148365855217,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,1,-0.7292490005493164,3.9,3.1707509994506835,0.9597186273282035,0.0402813726717965,16.8586871275789,24.321944314856683,1.5246528387069702,0.04764539748430252,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,2,8.28292465209961,3.9,12.18292465209961,0.999994882936247,5.117063752920358e-06,135457.64535837402,195424.0732090221,3.7302379608154297,0.11656993627548218,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,3,-2.270071268081665,3.9,1.6299287319183349,0.8361598755300839,0.16384012446991608,3.8737276372980265,5.588607652084384,1.5974141359329224,0.049919191747903824,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,4,-2.3982462882995605,3.9,1.5017537117004394,0.817835890414233,0.182164109585767,3.4468885664940125,4.97280904137778,1.4514939785003662,0.045359183102846146,1024,blocks.2.attn.mem.w_gamma
repl_seed1_nope,nope,2,5,0.034111808985471725,3.9,3.9341118089854716,0.9808123028576514,0.019187697142348605,35.776870649950325,51.61511386520924,1.6613177061080933,0.05191618204116821,1024,blocks.2.attn.mem.w_gamma
